4,Indo Jaya,RO,-7.77855,110.395679,25
4,Riski,RO,-7.763346,110.401196,26
4,Bu Santi,RO,-7.761827,110.401779,27
4,Winda Jaya,RO,-7.767788,110.400058,28
4,Mbah dul,R,-7.767464,110.396057,29
4,Erni,,-7.778771,110.396494,30
4,Minis store,,-7.764163,110.400786,31
4,Rahmad,R,-7.762062,110.396895,32
4,Rama mart 2,R,-7.763442,110.394385,33
4,Surabaya cell,R,-7.763642,110.394824,34
4,Ungu,R,-7.764873,110.396342,35
4,Rama mart 1,R,-7.765741,110.396387,36
4,Walidi,R,-7.765955,110.396346,37
4,Genesis,IO,-7.772573,110.397201,38
4,Lala,IO,-7.768011,110.396509,39
4,Warung70,IO,-7.762325,110.394303,40
4,Kumala sari,IO,-7.781049,110.389026,41
4,Karomah2,RO,-7.766426,110.396303,42
4,Mandiri,R,-7.767768,110.399271,43
4,Lestari,R,-7.768031,110.396489,44
4,Maulida,R,-7.773448,110.39364,45
4,Andika,R,-7.780363,110.395907,46
4,Fajar,R,-7.760292,110.403754,47
4,Erma jaya,R,-7.759668,110.40391,48
4,Sumar,R,-7.760839,110.399788,49
4,Barakah jaya,R,-7.762059,110.397809,50
4,Jawa9,R,-7.76648,110.401767,51
4,Arcia mart,IO,-7.76823,110.402296,52
4,Lestari makmur,IO,-7.762176,110.399412,53
4,Aura,IO,-7.761683,110.399393,54
4,Amir,IO,-7.761418,110.403635,55
4,Zayan,IO,-7.78185,110.395468,56
5,Barokah,R,"7°45'24""S","110°23'02""E",1
5,jaya Cell,RO,"7°45'32""S","110°23'08""E",2
5,SRC Purnomo,RO,"7°45'36""S","110°22'54""E",3
5,Denny,R,"7°45'38""S","110°22'59""E",4
5,Bu Marsiah,RO,"7°45'40""S","110°23'00""E",5
5,SRC Rizky,R,"7°45'36""S","110°23'18""E",6
5,Tami,RO,"7°45'38""S","110°23'31""E",7
5,Ojo Dumeh,R,"7°45'42""S","110°23'31""E",8
5,kanva,R,"7°45'48""S","110°23'07""E",9
5,jumiati,R,"7°45'54""S","110°23'09""E",10
5,narti,R,"7°45'57""S","110°23'03""E",11
5,Jawi,R,"7°45'59""S","110°23'08""E",12
5,Tini,R,"7°45'58""S","110°23'23""E",13
5,Rangga,R,"7°46'02""S","110°23'24""E",14
5,D7 Nyumarni,R,"7°46'16""S","110°23'05""E",15
5,Hafifudin,,"7°46'15""S","110°23'17""E",16
5,poniman,R,"7°46'14""S","110°23'12""E",17
5,SRC Anisa,R,"7°46'16""S","110°23'00""E",18
5,HNR Cell,R,"7°46'20""S","110°23'08""E",19
5,Gito,R,"7°46'21""S","110°23'09""E",20
5,Diah,R,"7°46'21""S","110°23'09""E",21
5,Cahaya Mart,R,"7°46'20""S","110°23'15""E",22
5,SRC Endang,R,"7°46'26""S","110°22'56""E",23
5,Berkah,R,"7°46'28""S","110°22'56""E",24
5,Zuma,R,"7°46'23""S","110°23'20""E",25
5,Rizky,R,"7°46'46""S","110°23'01""E",26
5,Bunda Ayu,R,"7°46'52""S","110°23'07""E",27
6,Dua Saudara,R,-7.74298184,110.4133841,1
6,Er sembako,R,,,2
6,Ada mart,RO,,,3
6,Afran,R,"7°44'59""S","110°24'36""E",4
6,Pak Totok,R,"7°44'56""S","110°24'51""E",5
6,SRC Gino,R,"7°45'11""S","110°24'47""E",6
6,Mbah Pardi,R,"7°45'12""S","110°24'44""E",7
6,Tk Mbah,R,"7°45'13""S","110°24'44""E",8
6,Mingun,R,"7°45'14""S","110°24'49""E",9
6,Wawan,R,"7°45'14""S","110°24'48""E",10
6,Gombloh,R,"7°45'14""S","110°24'47""E",11
6,Siti,R,"7°45'17""S","110°24'34""E",12
6,Siren,R,"7°45'15""S","110°24'38""E",13
6,Sum,RO,"7°45'17""S","110°24'35""E",14
6,purnomo,R,"7°45'14""S","110°24'31""E",15
6,Alif,R,,,16
6,Barokah,R,,,17
6,Merpati,R,"7°45'27""S","110°24'42""E",18
6,Dani,RO,,,19
6,Mila 1,R,"7°45'35""S","110°24'45""E",20
6,AR toko,R,"7°45'28""S","110°24'44""E",21
6,Sembako madura,R,"7°45'30""S","110°24'47""E",22
6,Nisal,R,,,23
6,Adilia mart,R,"7°45'36""S","110°24'50""E",24
6,SRC Jasmine,R,"7°45'37""S","110°24'51""E",25
6,Bu Harto,RO,"7°45'38""S","110°24'51""E",26
6,Agoes,R,"7°45'40""S","110°24'49""E",27
6,Asli Sembako,R,,,28
6,Bu Rub,R,,,29
6,Mini,RO,"7°45'12""S","110°24'45""E",30
6,Fanaya,R,,,31
7,Naufal,RO,-7.748805,110.39896,1
7,Sepudi jaya,R,"7°45'22""S","110°23'52""E",2
7,ceria,R,"7°45'21""S","110°23'56""E",3
7,Langgeng,R,-7.755345,110.401407,4
7,desi,R,,,5
7,Pandu putra,R,-7.756049,110.405903,6
7,Yak muni,R,-7.75549,110.404011,7
7,Wawan,R,,,8
7,Fahri Barokah,R,,,9
7,Hasilono,R,"7°45'12""S","110°24'18""E",10
7,Dns,R,"7°45'12""S","110°24'18""E",11
7,Tari,R,"7°45'04""S","110°24'26""E",12
7,Beny,R,"7°45'02""S","110°24'26""E",13
7,Afifah 1,RO,-7.749876,110.406689,14
7,Dea,RO,-7.750308,110.404855,15
7,Bu Ipar,RO,-7.750428,110.405928,16
7,Istiqomah 4 / Nadaku,RO,-7.753965,110.39762,17
7,Pojok gejayan,R,"7°45'14""S","110°23'48""E",18
7,Deby,R,,,19
7,Dedyo,R,"7°45'04""S","110°23'54""E",20
7,Rama mart/umik 1,RO,-7.756765,110.39612,21
7,Sembako Rahmat,RO,-7.751627,110.398647,22
7,Awan,R,,,23
7,kevin,R,-7.745315,110.396516,24
7,Sanjaya,R,"7°44'45""S","110°23'45""E",25
7,Ridho 2,RO,-7.750651,110.398644,26
7,Afifah2,R,-7.745836,110.401632,27
7,Sembako SRI,R,-7.750273,110.402802,28
7,Dewi,R,-7.750243,110.402935,29
7,Sri jaya,RO,-7.745927,110.399316,30
7,Djaya,R,-7.754573,110.396903,31
7,Rama mart 7,R,-7.757078,110.395282,32
7,Zubaidi,R,-7.750337,110.404998,33
7,Sembako sumeh,RO,-7.756791,110.395595,34
7,Naka yoshi,R,-7.756962,110.397276,35
7,Fajar,R,-7.756459,110.397735,36
7,Aneka jaya,R,-7.756495,110.39776,37
7,Winarni,R,-7.755918,110.398245,38
7,Agus,R,-7.754402,110.399344,39
7,Rahayu,R,-7.75396,110.39951,40
7,Kurnia baru,R,-7.751434,110.400526,41
7,Ridho4,R,-7.751068,110.40058,42
7,Karomah,R,-7.750417,110.405944,43
7,Yuni,R,-7.750958,110.407354,44
7,Bu cipto,IO,-7.750456,110.405509,45
7,Utama mart,R,-7.755845,110.404917,46
7,Utama 2 mm,R,-7.755861,110.405098,47
7,Fikri,R,-7.750013,110.406108,48
7,One mio sembako,IO,-7.750086,110.406087,49
7,Albarokah,R,-7.750261,110.40425,50
7,Madura,R,-7.750325,110.401021,51
8,Devi,R,,,1
8,Harsudi,RO,-7.745435,110.398379,2
8,Valentine,RO,-7.745676,110.399213,3
8,SRC Bu Nur,RO,-7.744705,110.399519,4
8,Ridho 1,RO,-7.744679,110.399562,5
8,Lestari,R,,,6
8,Cahaya,,,,7
8,Restu,R,,,8
8,Wina,R,,,9
8,Lilik Cell,R,-7.742848,110.401188,10
8,Pakih,,,,11
8,Ridho 5,RO,-7.74241,110.398957,12
8,Bayu,R,,,13
8,Rahayu,RO,-7.741041,110.399758,14
8,Alfatih,RO,-7.740789,110.398476,15
8,partini,R,,,16
8,Nadera,R,,,17
8,Pojok,RO,-7.752874,110.39235,18
8,Bu Is,IO,,,19
8,Bu Haryati,R,,,20
8,SRC Pungky,RO,-7.748664,110.38975,21
8,Khakha,RO,-7.740082,110.394635,22
8,Sembako lia,RO,-7.738542,110.399553,23
8,Riyanto,R,,,24
8,istiqomah,RO,-7.740805,110.39631,25
8,SRC Agatha,R,,,26
8,Putra,R,,,27
8,Rix Cell,R,,,28
8,Bumi Market,RO,,,29
8,Dewi,R,-7.745208,110.396145,30
8,Angkringan Pagi,RO,-7.756435,110.391597,31
8,Grestro,RO,-7.75723,110.396089,32
8,Birru,IO,-7.749012,110.391346,33
8,Pak Warno,R,-7.750268,110.392024,34
8,Ika,R,-7.742423,110.395924,35
8,Mbah rumi,R,-7.743505,110.395628,36
8,Deaswara,R,-7.744021,110.395939,37
8,Anik,R,-7.739942,110.394148,38
8,Jaya,R,-7.739773,110.393747,39
8,Bu puji,RO,-7.748046,110.392999,40
8,Sumirah,R,-7.745713,110.388789,41
8,Pak rani,R,-7.752767,110.391513,42
8,Sarmijoss,,-7.755823,110.390998,43
8,Abim,IO,-7.755468,110.389586,44
8,Kios sely,IO,-7.746252,110.3923,45
8,Rizky rangiro,IO,-7.740621,110.395671,46
8,Mila,IO,-7.741319,110.397379,47
8,Gendut cell,IO,-7.740215,110.394911,48
8,Kisno,IO,-7.746363,110.39554,49
8,Sumarmi,IO,-7.746627,110.389815,50
9,Lestari,R,,,1
9,Karin laundry,RO,,,2
9,Jumilah,RO,-7.73726,110.383775,3
9,SRC Haryadi,RO,-7.741147,110.387642,4
9,SRC Rumiyati,R,-7.74261364,110.385216,5
